epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.5192,3.38576,26.7833,5.02551,5.36012,0.93209,0.25,0.255,0.0255,0,0,0,0,4.082,24.3194,4.3742,8.75402,1.667e-05,1.667e-05,1.667e-05
2,5.02971,3.72954,20.6379,7.19358,4.87391,0.93177,0.25,0.25458,0.02546,0,0,0,0,4.07846,23.7708,4.43489,8.76211,4.83597e-05,4.83597e-05,4.83597e-05
3,6.43166,3.61636,23.0246,5.61962,5.43948,0.92975,0.25,0.25458,0.02546,0,0,0,0,4.11008,23.346,4.37513,8.9771,7.78489e-05,7.78489e-05,7.78489e-05
4,7.88858,3.52509,13.5001,8.34529,4.23209,0.92989,0.25,0.25458,0.02546,0,0,0,0,4.19231,22.7718,4.13212,9.17101,0.000105138,0.000105138,0.000105138
5,9.33647,3.62804,20.0367,5.49129,5.61667,0.94329,0.25,0.25388,0.02539,0,0,0,0,4.16632,22.3688,4.287,8.31668,0.000130226,0.000130226,0.000130226
6,11.0595,3.63546,14.3213,6.87382,4.97549,0.94329,0.25,0.25388,0.02539,0,0,0,0,4.16632,22.3688,4.287,8.31668,0.000153114,0.000153114,0.000153114
7,12.7797,3.31353,17.4342,6.02836,4.59088,0.94052,0.25,0.25458,0.02546,0,0,0,0,4.14272,22.157,4.42662,8.30118,0.000173801,0.000173801,0.000173801
8,14.5576,3.76328,15.169,7.37648,5.14595,0.96015,0.25,0.2975,0.02975,0,0,0,0,3.92382,20.0398,4.28145,7.56308,0.000192288,0.000192288,0.000192288
9,16.4773,3.24072,12.3741,6.4203,4.25168,0.96015,0.25,0.2975,0.02975,0,0,0,0,3.92382,20.0398,4.28145,7.56308,0.000208575,0.000208575,0.000208575
10,18.4098,3.23302,13.6083,4.85315,4.43361,0.97161,0.25,0.30306,0.03345,0,0,0,0,3.97831,17.4658,3.76588,6.92946,0.000222661,0.000222661,0.000222661
11,20.3451,3.18118,10.9898,6.01354,3.61356,0.97161,0.25,0.30306,0.03345,0,0,0,0,3.97831,17.4658,3.76588,6.92946,0.000234547,0.000234547,0.000234547
12,22.4254,3.17626,12.2164,5.19734,4.13174,0.97841,0.25,0.30306,0.03335,0,0,0,0,3.9336,14.8138,3.40158,6.18659,0.000244232,0.000244232,0.000244232
13,24.1861,3.15971,10.2525,4.48355,3.88036,0.97841,0.25,0.30306,0.03335,0,0,0,0,3.9336,14.8138,3.40158,6.18659,0.000251717,0.000251717,0.000251717
14,25.9248,3.09302,8.1385,5.01867,3.57614,0.97841,0.25,0.30306,0.03335,0,0,0,0,3.9336,14.8138,3.40158,6.18659,0.000257001,0.000257001,0.000257001
15,27.75,3.34233,8.06395,4.21264,4.2105,0.02159,0.25,0.03,0.00873,0,0,0,0,3.87636,10.0894,3.31037,5.39673,0.000260085,0.000260085,0.000260085
16,29.6239,3.32675,7.02624,4.9715,3.9264,0.02159,0.25,0.03,0.00873,0,0,0,0,3.87636,10.0894,3.31037,5.39673,0.000260969,0.000260969,0.000260969
17,31.4211,3.06886,5.94658,5.37199,3.22834,0.02159,0.25,0.03,0.00873,0,0,0,0,3.87636,10.0894,3.31037,5.39673,0.000259652,0.000259652,0.000259652
18,33.2764,3.11877,7.1247,3.92774,3.57506,0.02986,0.25,0.0437,0.01473,0,0,0,0,3.75973,9.32771,3.10023,5.0533,0.000256135,0.000256135,0.000256135
19,35.2379,2.98253,5.85296,4.33659,3.59343,0.02986,0.25,0.0437,0.01473,0,0,0,0,3.75973,9.32771,3.10023,5.0533,0.000250417,0.000250417,0.000250417
20,37.1143,3.07147,8.12613,3.97004,3.68535,0.02986,0.25,0.0437,0.01473,0,0,0,0,3.75973,9.32771,3.10023,5.0533,0.000242498,0.000242498,0.000242498
21,45.2458,2.72213,6.88993,3.64516,3.26724,0.03328,0.25,0.05149,0.0162,0,0,0,0,3.64757,6.62507,2.82239,4.71646,0.00023238,0.00023238,0.00023238
22,46.8465,3.24679,6.02716,3.10552,4.06316,0.03328,0.25,0.05149,0.0162,0,0,0,0,3.64757,6.62507,2.82239,4.71646,0.000220061,0.000220061,0.000220061
23,48.425,2.97323,5.23015,3.32727,3.80968,0.03328,0.25,0.05149,0.0162,0,0,0,0,3.64757,6.62507,2.82239,4.71646,0.000205541,0.000205541,0.000205541
24,50.112,3.4629,5.60838,3.55323,4.68155,0.03328,0.25,0.05149,0.0162,0,0,0,0,3.64757,6.62507,2.82239,4.71646,0.000188821,0.000188821,0.000188821
25,51.866,2.85389,5.34753,3.61591,3.51289,0.06335,0.25,0.06381,0.02243,0,0,0,0,3.53678,6.65901,2.92491,4.56184,0.000169901,0.000169901,0.000169901
26,53.5566,2.8899,5.7449,3.71849,3.69165,0.06335,0.25,0.06381,0.02243,0,0,0,0,3.53678,6.65901,2.92491,4.56184,0.00014878,0.00014878,0.00014878
27,55.2597,3.39426,6.36212,3.6198,3.95346,0.06335,0.25,0.06381,0.02243,0,0,0,0,3.53678,6.65901,2.92491,4.56184,0.000125458,0.000125458,0.000125458
28,56.9617,3.0806,6.15275,3.68785,3.6302,0.06335,0.25,0.06381,0.02243,0,0,0,0,3.53678,6.65901,2.92491,4.56184,9.99366e-05,9.99366e-05,9.99366e-05
29,58.6522,2.9636,6.32618,3.48444,3.48469,0.06335,0.25,0.06381,0.02243,0,0,0,0,3.53678,6.65901,2.92491,4.56184,7.22144e-05,7.22144e-05,7.22144e-05
30,60.4415,3.34014,5.36097,3.13528,4.57559,0.02934,0.25,0.05138,0.02139,0,0,0,0,3.11877,6.32238,2.7352,4.2078,4.22918e-05,4.22918e-05,4.22918e-05
